Aantal tariefeenheden;Voltarief incl. 9% btw;20% korting incl. 9% btw;2e klas 40% korting incl. 9% btw;vol tarief excl. btw
0 t/m 8;€ 2,60;€ 2,08;€ 1,56;€ 2,39
9;€ 2,90;€ 2,32;€ 1,74;€ 2,66
10;€ 3,10;€ 2,48;€ 1,86;€ 2,84
11;€ 3,30;€ 2,64;€ 1,98;€ 3,03
12;€ 3,50;€ 2,80;€ 2,10;€ 3,21
13;€ 3,70;€ 2,96;€ 2,22;€ 3,39
14;€ 3,90;€ 3,12;€ 2,34;€ 3,58
15;€ 4,10;€ 3,28;€ 2,46;€ 3,76
16;€ 4,30;€ 3,44;€ 2,58;€ 3,94
17;€ 4,50;€ 3,60;€ 2,70;€ 4,13
18;€ 4,70;€ 3,76;€ 2,82;€ 4,31
19;€ 4,90;€ 3,92;€ 2,94;€ 4,50
20;€ 5,10;€ 4,08;€ 3,06;€ 4,68
21;€ 5,30;€ 4,24;€ 3,18;€ 4,86
22;€ 5,50;€ 4,40;€ 3,30;€ 5,05
23;€ 5,70;€ 4,56;€ 3,42;€ 5,23
24;€ 5,90;€ 4,72;€ 3,54;€ 5,41
25;€ 6,10;€ 4,88;€ 3,66;€ 5,60
26;€ 6,30;€ 5,04;€ 3,78;€ 5,78
27;€ 6,50;€ 5,20;€ 3,90;€ 5,96
28;€ 6,70;€ 5,36;€ 4,02;€ 6,15
29;€ 6,90;€ 5,52;€ 4,14;€ 6,33
30;€ 7,10;€ 5,68;€ 4,26;€ 6,51
31;€ 7,30;€ 5,84;€ 4,38;€ 6,70
32;€ 7,50;€ 6,00;€ 4,50;€ 6,88
33;€ 7,70;€ 6,16;€ 4,62;€ 7,06
34;€ 7,90;€ 6,32;€ 4,74;€ 7,25
35;€ 8,10;€ 6,48;€ 4,86;€ 7,43
36;€ 8,30;€ 6,64;€ 4,98;€ 7,61
37;€ 8,50;€ 6,80;€ 5,10;€ 7,80
38;€ 8,70;€ 6,96;€ 5,22;€ 7,98
39;€ 8,80;€ 7,04;€ 5,28;€ 8,07
40;€ 9,00;€ 7,20;€ 5,40;€ 8,26
41;€ 9,20;€ 7,36;€ 5,52;€ 8,44
42;€ 9,40;€ 7,52;€ 5,64;€ 8,62
43;€ 9,60;€ 7,68;€ 5,76;€ 8,81
44;€ 9,80;€ 7,84;€ 5,88;€ 8,99
45;€ 10,00;€ 8,00;€ 6,00;€ 9,17
46;€ 10,20;€ 8,16;€ 6,12;€ 9,36
47;€ 10,40;€ 8,32;€ 6,24;€ 9,54
48;€ 10,60;€ 8,48;€ 6,36;€ 9,72
49;€ 10,80;€ 8,64;€ 6,48;€ 9,91
50;1 1,00;€ 8,80;€ 6,60;€ 10,09
51;1 1,20;€ 8,96;€ 6,72;€ 10,28
52;1 1,40;€ 9,12;€ 6,84;€ 10,46
53;1 1,60;€ 9,28;€ 6,96;€ 10,64
54;1 1,80;€ 9,44;€ 7,08;€ 10,83
55;€ 12,00;€ 9,60;€ 7,20;€ 1 1,01
56;€ 12,20;€ 9,76;€ 7,32;€ 1 1,19
57;€ 12,40;€ 9,92;€ 7,44;€ 1 1,38
58;€ 12,60;€ 10,08;€ 7,56;€ 1 1,56
59;€ 12,80;€ 10,24;€ 7,68;€ 1 1,74
60;€ 13,00;€ 10,40;€ 7,80;€ 1 1,93
61;€ 13,20;€ 10,56;€ 7,92;€ 12,1 1
