"tariff_units","second_class_full_tariff","second_class_20_discount_tariff","second_class_40_discount_tariff","second_class_full_tariff_ex_tax"
"0 t/m 8","€ 2,4","€ 1,92","€ 1,44","€ 2,18"
"9","€ 2,6","€ 2,08","€ 1,56","€ 2,36"
"10","€ 2,8","€ 2,24","€ 1,68","€ 2,54"
"11","€ 3","€ 2,4","€ 1,8","€ 2,73"
"12","€ 3,2","€ 2,56","€ 1,92","€ 2,91"
"13","€ 3,3","€ 2,64","€ 1,98","€ 3,00"
"14","€ 3,5","€ 2,8","€ 2,1","€ 3,18"
"15","€ 3,7","€ 2,96","€ 2,22","€ 3,36"
"16","€ 3,9","€ 3,12","€ 2,34","€ 3,54"
"17","€ 4,1","€ 3,28","€ 2,46","€ 3,73"
"18","€ 4,3","€ 3,44","€ 2,58","€ 3,91"
"19","€ 4,5","€ 3,6","€ 2,7","€ 4,09"
"20","€ 4,6","€ 3,68","€ 2,76","€ 4,18"
"21","€ 4,8","€ 3,84","€ 2,88","€ 4,36"
"22","€ 5","€ 4","€ 3","€ 4,55"
"23","€ 5,1","€ 4,08","€ 3,06","€ 4,64"
"24","€ 5,3","€ 4,24","€ 3,18","€ 4,82"
"25","€ 5,5","€ 4,4","€ 3,3","€ 5,00"
"26","€ 5,7","€ 4,56","€ 3,42","€ 5,18"
"27","€ 5,8","€ 4,64","€ 3,48","€ 5,27"
"28","€ 6","€ 4,8","€ 3,6","€ 5,46"
"29","€ 6,2","€ 4,96","€ 3,72","€ 5,64"
"30","€ 6,4","€ 5,12","€ 3,84","€ 5,82"
"31","€ 6,5","€ 5,2","€ 3,9","€ 5,91"
"32","€ 6,7","€ 5,36","€ 4,02","€ 6,09"
"33","€ 6,9","€ 5,52","€ 4,14","€ 6,27"
"34","€ 7,1","€ 5,68","€ 4,26","€ 6,46"
"35","€ 7,3","€ 5,84","€ 4,38","€ 6,64"
"36","€ 7,4","€ 5,92","€ 4,44","€ 6,73"
"37","€ 7,6","€ 6,08","€ 4,56","€ 6,91"
"38","€ 7,8","€ 6,24","€ 4,68","€ 7,09"
"39","€ 8","€ 6,4","€ 4,8","€ 7,28"
"40","€ 8,2","€ 6,56","€ 4,92","€ 7,46"
"41","€ 8,3","€ 6,64","€ 4,98","€ 7,55"
"42","€ 8,5","€ 6,8","€ 5,1","€ 7,73"
"43","€ 8,7","€ 6,96","€ 5,22","€ 7,91"
"44","€ 8,9","€ 7,12","€ 5,34","€ 8,09"
"45","€ 9,1","€ 7,28","€ 5,46","€ 8,28"
"46","€ 9,2","€ 7,36","€ 5,52","€ 8,37"
"47","€ 9,4","€ 7,52","€ 5,64","€ 8,55"
"48","€ 9,6","€ 7,68","€ 5,76","€ 8,73"
"49","€ 9,8","€ 7,84","€ 5,88","€ 8,91"
"50","€ 9,9","€ 7,92","€ 5,94","€ 9,00"
"51","€ 10,1","€ 8,08","€ 6,06","€ 9,19"
"52","€ 10,3","€ 8,24","€ 6,18","€ 9,37"
"53","€ 10,5","€ 8,4","€ 6,3","€ 9,55"
