tariff_units,second_class_full_tariff,second_class_20_discount_tariff,second_class_40_discount_tariff,second_class_full_tariff_ex_tax
0 t/m 8,"€ 2,50 ","€ 2,00 ","€ 1,50 ","€ 2,29 "
9,"€ 2,70 ","€ 2,16 ","€ 1,62 ","€ 2,48 "
10,"€ 2,90 ","€ 2,32 ","€ 1,74 ","€ 2,66 "
11,"€ 3,10 ","€ 2,48 ","€ 1,86 ","€ 2,84 "
12,"€ 3,30 ","€ 2,64 ","€ 1,98 ","€ 3,03 "
13,"€ 3,40 ","€ 2,72 ","€ 2,04 ","€ 3,12 "
14,"€ 3,60 ","€ 2,88 ","€ 2,16 ","€ 3,30 "
15,"€ 3,80 ","€ 3,04 ","€ 2,28 ","€ 3,49 "
16,"€ 4,00 ","€ 3,20 ","€ 2,40 ","€ 3,67 "
17,"€ 4,20 ","€ 3,36 ","€ 2,52 ","€ 3,85 "
18,"€ 4,40 ","€ 3,52 ","€ 2,64 ","€ 4,04 "
19,"€ 4,60 ","€ 3,68 ","€ 2,76 ","€ 4,22 "
20,"€ 4,70 ","€ 3,76 ","€ 2,82 ","€ 4,31 "
21,"€ 4,90 ","€ 3,92 ","€ 2,94 ","€ 4,50 "
22,"€ 5,10 ","€ 4,08 ","€ 3,06 ","€ 4,68 "
23,"€ 5,30 ","€ 4,24 ","€ 3,18 ","€ 4,86 "
24,"€ 5,50 ","€ 4,40 ","€ 3,30 ","€ 5,05 "
25,"€ 5,70 ","€ 4,56 ","€ 3,42 ","€ 5,23 "
26,"€ 5,80 ","€ 4,64 ","€ 3,48 ","€ 5,32 "
27,"€ 6,00 ","€ 4,80 ","€ 3,60 ","€ 5,50 "
28,"€ 6,20 ","€ 4,96 ","€ 3,72 ","€ 5,69 "
29,"€ 6,40 ","€ 5,12 ","€ 3,84 ","€ 5,87 "
30,"€ 6,60 ","€ 5,28 ","€ 3,96 ","€ 6,06 "
31,"€ 6,80 ","€ 5,44 ","€ 4,08 ","€ 6,24 "
32,"€ 7,00 ","€ 5,60 ","€ 4,20 ","€ 6,42 "
33,"€ 7,10 ","€ 5,68 ","€ 4,26 ","€ 6,51 "
34,"€ 7,30 ","€ 5,84 ","€ 4,38 ","€ 6,70 "
35,"€ 7,50 ","€ 6,00 ","€ 4,50 ","€ 6,88 "
36,"€ 7,70 ","€ 6,16 ","€ 4,62 ","€ 7,06 "
