Region;Type;Year;TotalPopulation;YearIncrease
WORLD;World;1950;2477675;0,00
WORLD;World;1951;2520970;1,75
WORLD;World;1952;2565291;1,76
WORLD;World;1953;2615251;1,95
WORLD;World;1954;2665307;1,91
WORLD;World;1955;2718652;2,00
WORLD;World;1956;2773493;2,02
WORLD;World;1957;2828513;1,98
WORLD;World;1958;2887221;2,08
WORLD;World;1959;2944995;2,00
WORLD;World;1960;2995589;1,72
WORLD;World;1961;3042878;1,58
WORLD;World;1962;3093864;1,68
WORLD;World;1963;3159510;2,12
WORLD;World;1964;3232049;2,30
WORLD;World;1965;3302376;2,18
WORLD;World;1966;3371848;2,10
WORLD;World;1967;3440986;2,05
WORLD;World;1968;3509910;2,00
WORLD;World;1969;3583711;2,10
WORLD;World;1970;3657599;2,06
WORLD;World;1971;3733182;2,07
WORLD;World;1972;3807145;1,98
WORLD;World;1973;3882457;1,98
WORLD;World;1974;3958046;1,95
WORLD;World;1975;4032988;1,89
WORLD;World;1976;4105886;1,81
WORLD;World;1977;4179126;1,78
WORLD;World;1978;4252419;1,75
WORLD;World;1979;4326896;1,75
WORLD;World;1980;4404270;1,79
WORLD;World;1981;4483746;1,80
WORLD;World;1982;4565510;1,82
WORLD;World;1983;4650460;1,86
WORLD;World;1984;4733308;1,78
WORLD;World;1985;4818364;1,80
WORLD;World;1986;4905097;1,80
WORLD;World;1987;4995029;1,83
WORLD;World;1988;5086940;1,84
WORLD;World;1989;5177648;1,78
WORLD;World;1990;5269760;1,78
WORLD;World;1991;5362591;1,76
WORLD;World;1992;5449900;1,63
WORLD;World;1993;5535472;1,57
WORLD;World;1994;5619395;1,52
WORLD;World;1995;5702061;1,47
WORLD;World;1996;5784378;1,44
WORLD;World;1997;5865912;1,41
WORLD;World;1998;5947050;1,38
WORLD;World;1999;6027575;1,35
WORLD;World;2000;6107942;1,33
WORLD;World;2001;6189856;1,34
WORLD;World;2002;6271638;1,32
WORLD;World;2003;6353177;1,30
WORLD;World;2004;6434620;1,28
WORLD;World;2005;6516883;1,28
WORLD;World;2006;6599469;1,27
WORLD;World;2007;6683363;1,27
WORLD;World;2008;6768534;1,27
WORLD;World;2009;6854661;1,27
WORLD;World;2010;6941951;1,27
WORLD;World;2011;7029255;1,26
WORLD;World;2012;7116996;1,25
WORLD;World;2013;7206400;1,26
WORLD;World;2014;7294787;1,23
WORLD;World;2015;7383240;1,21
WORLD;World;2016;7469955;1,17
WORLD;World;2017;7556993;1,17
WORLD;World;2018;7642651;1,13
WORLD;World;2019;7724928;1,08
WORLD;World;2020;7804974;1,04
WORLD;World;2021;7876932;0,92
Netherlands;Country/Area;1950;10027;0,00
Netherlands;Country/Area;1951;10160;1,33
Netherlands;Country/Area;1952;10293;1,31
Netherlands;Country/Area;1953;10431;1,34
Netherlands;Country/Area;1954;10564;1,28
Netherlands;Country/Area;1955;10699;1,28
Netherlands;Country/Area;1956;10837;1,29
Netherlands;Country/Area;1957;10974;1,26
Netherlands;Country/Area;1958;11118;1,31
Netherlands;Country/Area;1959;11265;1,32
Netherlands;Country/Area;1960;11418;1,36
Netherlands;Country/Area;1961;11568;1,31
Netherlands;Country/Area;1962;11727;1,37
Netherlands;Country/Area;1963;11880;1,30
Netherlands;Country/Area;1964;12037;1,32
Netherlands;Country/Area;1965;12199;1,35
Netherlands;Country/Area;1966;12352;1,25
Netherlands;Country/Area;1967;12501;1,21
Netherlands;Country/Area;1968;12653;1,22
Netherlands;Country/Area;1969;12802;1,18
Netherlands;Country/Area;1970;12961;1,24
Netherlands;Country/Area;1971;13114;1,18
Netherlands;Country/Area;1972;13259;1,11
Netherlands;Country/Area;1973;13389;0,98
Netherlands;Country/Area;1974;13506;0,87
Netherlands;Country/Area;1975;13615;0,81
Netherlands;Country/Area;1976;13713;0,72
Netherlands;Country/Area;1977;13808;0,69
Netherlands;Country/Area;1978;13904;0,70
Netherlands;Country/Area;1979;13995;0,65
Netherlands;Country/Area;1980;14085;0,64
Netherlands;Country/Area;1981;14175;0,64
Netherlands;Country/Area;1982;14259;0,59
Netherlands;Country/Area;1983;14334;0,53
Netherlands;Country/Area;1984;14405;0,50
Netherlands;Country/Area;1985;14478;0,51
Netherlands;Country/Area;1986;14553;0,52
Netherlands;Country/Area;1987;14632;0,54
Netherlands;Country/Area;1988;14718;0,59
Netherlands;Country/Area;1989;14806;0,60
Netherlands;Country/Area;1990;14894;0,59
Netherlands;Country/Area;1991;14995;0,68
Netherlands;Country/Area;1992;15098;0,69
Netherlands;Country/Area;1993;15203;0,70
Netherlands;Country/Area;1994;15299;0,63
Netherlands;Country/Area;1995;15400;0,66
Netherlands;Country/Area;1996;15494;0,61
Netherlands;Country/Area;1997;15584;0,58
Netherlands;Country/Area;1998;15676;0,59
Netherlands;Country/Area;1999;15769;0,59
Netherlands;Country/Area;2000;15856;0,55
Netherlands;Country/Area;2001;15942;0,54
Netherlands;Country/Area;2002;16021;0,50
Netherlands;Country/Area;2003;16093;0,45
Netherlands;Country/Area;2004;16162;0,43
Netherlands;Country/Area;2005;16230;0,42
Netherlands;Country/Area;2006;16294;0,39
Netherlands;Country/Area;2007;16358;0,39
Netherlands;Country/Area;2008;16425;0,41
Netherlands;Country/Area;2009;16497;0,44
Netherlands;Country/Area;2010;16576;0,48
Netherlands;Country/Area;2011;16659;0,50
Netherlands;Country/Area;2012;16744;0,51
Netherlands;Country/Area;2013;16826;0,49
Netherlands;Country/Area;2014;16908;0,49
Netherlands;Country/Area;2015;17000;0,54
Netherlands;Country/Area;2016;17082;0,48
Netherlands;Country/Area;2017;17167;0,50
Netherlands;Country/Area;2018;17248;0,47
Netherlands;Country/Area;2019;17324;0,44
Netherlands;Country/Area;2020;17402;0,45
